segment,trench,zone,w_b,Te,mdot,mmax,outer_rise,depth_med
philippine_11,philippine,1,1323.40860641284,28.10788212356656,13.294295084167306,6.94,0.0,103.1
puysegur_01,puysegur,4,656.5431161939779,43.66497873917808,14.020357226716008,7.78,0.0,18.3
ryukyu_01,ryukyu,1,2591.906620480183,102.97618198542898,12.803083146190305,6.97,0.0210526315789473,24.9
ryukyu_02,ryukyu,1,2746.4270977486235,133.73567639692803,11.958871916028626,6.01,0.015625,12.4
ryukyu_03,ryukyu,1,2252.6998156504405,53.96690755837204,13.220723329057657,7.1,0.016260162601626,26.7
ryukyu_04,ryukyu,1,2180.4021442454923,134.35936345791703,12.03519604694049,6.35,0.0,31.8
ryukyu_06,ryukyu,1,2331.8255464406134,80.36394768052297,12.651811786630937,6.66,0.0147058823529411,31.1
ryukyu_11,ryukyu,1,2363.868671965388,79.07097210192902,12.179707546391713,6.26,0.0,21.65
san_cristobal_01,san_cristobal,4,677.7699964111063,11.88306983571598,14.065335726980614,7.53,0.0,21.8
san_cristobal_02,san_cristobal,4,1103.6049471196638,34.3184869281865,14.320609846068905,7.8,0.0,41.5
san_cristobal_03,san_cristobal,4,586.6854167682172,51.58509933450915,14.041757361285796,7.63,0.0367647058823529,21.85
san_cristobal_04,san_cristobal,4,66.03270532647116,50.33875005488117,14.427070999230928,7.91,0.0307692307692307,18.7
tonga_01,tonga,4,118.87769760363624,15.371080514565412,14.519365576943146,8.03,0.0289855072463768,27.15
tonga_02,tonga,2,93.62435760888609,20.958373362827004,13.321456731856358,6.9,0.0121580547112462,18.0
tonga_03,tonga,4,93.98992980145012,15.323219657105264,14.230904482690498,7.97,0.0164609053497942,19.4
tonga_04,tonga,2,106.03445648902996,12.273662218382348,13.391847520540006,7.06,0.1008064516129032,18.75
tonga_05,tonga,2,104.09766550851356,10.77587878565124,13.63402136842629,7.23,0.1061224489795918,21.8
tonga_06,tonga,2,465.2664414648933,37.0412043142772,13.45588556744031,7.28,0.0470588235294117,22.8
tonga_07,tonga,4,1046.339767687312,33.63072941043951,14.512190329831034,8.08,0.0147368421052631,23.7
yap_03,yap,2,877.9041722249905,27.69518917348055,12.357688012964362,6.44,0.0333333333333333,15.0
yap_04,yap,2,1529.5014838599486,42.31302064780829,12.52401759455757,6.59,0.046875,15.65
yap_05,yap,2,1580.9450579904967,42.79822880548095,12.816344207452653,6.89,0.0655737704918032,15.0
