iteration,loss_total,loss_data,loss_phys,loss_bc,te_km
1,0.11259167691504593,0.08315428605539328,0.021771242733547073,0.0076661481261055785,25.000000000000007
2,0.9699155515331842,0.05271796856918858,0.1261397112778795,0.7910578716861161,25.000000000000007
3,0.11027602818136169,0.06906818324928131,0.033375574110953474,0.007832270821126905,24.96325398925502
4,0.11720225436626708,0.050146057082181006,0.013298921111518279,0.05375727617256779,24.933194141288734
5,0.09434020612043337,0.07096500121555908,0.005788544674730915,0.017586660230143363,24.90781494641423
6,0.07157706108700643,0.04495986483774486,0.00602487542262497,0.020592320826636604,24.88116682199379
7,0.12259585078623814,0.04353683094178084,0.00833868345332672,0.07072033639113058,24.85791822819401
8,0.09646869376717586,0.06480369061132973,0.005241588444529904,0.02642341471131622,24.83744121350269
9,0.060250361811133364,0.05648517959942377,0.0033904210556029647,0.00037476115610663065,24.816366137234954
10,0.08427702622969092,0.06397219405074883,0.002746098834686426,0.017558733344255676,24.79757221831295
11,0.0907002480302059,0.05932230986064993,0.002791683953845235,0.028586254215710736,24.780741428636173
12,0.0713252280603491,0.050881780285046044,0.003422891458284423,0.01702055631701864,24.765618024767114
13,0.06603494898259521,0.05837974822370211,0.004423864916999802,0.0032313358418933047,24.751992154926846
14,0.06396888508152465,0.05716200072585678,0.006150382364380876,0.0006565019912869808,24.735466796036242
15,0.0674533657514358,0.05476855976864886,0.006729886741332543,0.005954919241454402,24.720521219971555
16,0.06687581908966589,0.05125294736017631,0.0061000818515638,0.009522789877925774,24.706984556262388
17,0.0910972852048285,0.07950234401437306,0.004194995808852466,0.0073999453816029825,24.694709221054477
18,0.0511603841307925,0.04573433818791533,0.002472992585355965,0.0029530533575212042,24.683566684894984
19,0.0627070057430984,0.060798907381333325,0.0016124610228742395,0.00029563733889083343,24.673444221580706
20,0.06497214393026654,0.063050604439959,0.0015334051475813034,0.00038813434272622966,24.664242368669843
21,0.06766421134753185,0.0638045764814852,0.0018219714894638823,0.0020376633765827774,24.65425799766138
22,0.07430923107714027,0.06879865592125176,0.0019678158144809965,0.003542759341407514,24.645173464269668
23,0.042290989219746396,0.03652614540341604,0.001872277534486594,0.0038925662818437633,24.636904795802014
24,0.08509787596586493,0.0804135461014878,0.0016363722572888882,0.003047957607088249,24.62937667540234
25,0.06502484522377101,0.06214028611785153,0.0012435399574593526,0.0016410191484601232,24.621612786764608
26,0.054981161976951215,0.05339100020920897,0.0010713219571258567,0.0005188398106163851,24.614541951593726
27,0.07878410385222272,0.07779290274759566,0.0009660103938107482,2.519071081630598e-05,24.608101611388072
28,0.06907440563440505,0.06770370592648464,0.0012523502742533717,0.00011834943366703036,24.60223515454936
29,0.055179858981244605,0.053291386552520595,0.0013660897763046798,0.000522382652419329,24.596891273708653
30,0.04463646251227802,0.04213306649053526,0.0015671863973156573,0.0009362096244271017,24.59086956699421
31,0.07423046317990074,0.07146543591708522,0.0016154029211254137,0.0011496243416901073,24.584206073001702
32,0.048891280127917755,0.046247001117554386,0.0015412567017333186,0.0011030223086300446,24.578137086844677
33,0.0681731079067973,0.06586903897252815,0.001448674563808503,0.0008553943704606528,24.572609878026128
34,0.06447401705077643,0.06263922963915683,0.0013062398780064907,0.0005285475336131162,24.567576447638668
35,0.059112802263312274,0.05754642501738982,0.0013305478634551714,0.00023582938246728604,24.56299307993505
36,0.07464748155852248,0.07339526290451143,0.0011966400293109067,5.5578624700145544e-05,24.558112880349338
37,0.048166174751427586,0.047073033500928875,0.0010917414941288498,1.3997563698604745e-06,24.553670080469832
38,0.07610628850286501,0.0750468775226483,0.0010060162284657836,5.3394751750917556e-05,24.549625936722812
39,0.04570706477809597,0.04461608215347482,0.0009259328273815091,0.0001650497972396447,24.545945120788883
40,0.050008911470999756,0.048846932973955794,0.0009010670282413123,0.00026091146880265464,24.542595413322257
41,0.07125022190690386,0.0700436437566277,0.0008967676384719291,0.00030981051180423315,24.539547427102413
42,0.04607903701491606,0.044863174105034265,0.000919040964199059,0.00029682194568273683,24.53677435631953
43,0.05859897552210491,0.05748317388386468,0.0008723184404709979,0.0002434831977692347,24.534251749155878
44,0.05525663500583072,0.05414636527611601,0.0009579010008537647,0.00015236872886094854,24.531957301207115
45,0.07586179106208192,0.07480549798144936,0.0009829106043204752,7.338247631208761e-05,24.529870667606268
46,0.057877302563110494,0.05684658624702649,0.0010114513826082073,1.9264933475799185e-05,24.52797329198061
47,0.05145144902206672,0.050509653095643946,0.0009395485970837083,2.2473293390667588e-06,24.52624825059758
48,0.043764983017836545,0.04291309368365414,0.0008401047359597315,1.1784598222672817e-05,24.52468011024728
49,0.048939035443621645,0.04797069890938892,0.0009496840487868845,1.865248544584401e-05,24.52277039366191
50,0.05455495126263691,0.05355742756628784,0.000976066069072562,2.145762727650518e-05,24.52103488985454
51,0.05815935581074453,0.056950570877365714,0.0011731482246679827,3.563670871083326e-05,24.518860380071963
52,0.05058798707855425,0.04927175993748182,0.0012661616399080942,5.006550116433173e-05,24.516884816910082
53,0.044678042651003794,0.04312697496601,0.0014951706926729883,5.5896992320811366e-05,24.515090232682986
54,0.03730458065851412,0.035708803303445086,0.0015659972421715061,2.9780112897532854e-05,24.513460258222587
55,0.04655418479343622,0.04500293262037755,0.001534924432571863,1.6327740486805104e-05,24.511979982893195
56,0.07455576452667066,0.07293711567878065,0.0016126162042051197,6.032643684891566e-06,24.509576077015776
57,0.0657515512840408,0.06423822615766045,0.0015071562399974097,6.168886382933604e-06,24.507393582661066
