iteration,lam_d,lam_p,lam_b,grad_d,grad_p,grad_b
100,1.0099707906285607,1.0,1.9569225014526994,0.0002456496427664906,0.0002701428543265445,2.5559381501978006e-05
200,1.208422626196387,1.0,14.325986774094263,0.0004413478939188212,0.0013216114780852859,1.0518401018662597e-05
300,1.1875803635767483,1.000879927870931,13.728190162674721,0.0002611275249520888,0.0002588498331265497,3.128017234150601e-05
400,1.225176861976699,1.000791935083838,15.060352369236641,0.0004431784120656111,0.0006929295443314185,2.5616796837007934e-05
500,1.443050296638178,1.000712741575454,14.540733050494518,0.00019970523262499346,0.0006797788797465857,6.891402168364828e-05
600,1.534534193526678,1.0006414674179087,15.50646522942764,0.00027636397485107525,0.000651635649678668,2.6929257495779797e-05
700,2.172177499347501,1.000577320676118,18.44048412392536,0.00015236563280434181,0.0012053595314050142,2.6877356930964647e-05
800,2.22055371402128,1.000519588608506,18.622604448611092,0.0001984103755482856,0.0005269659826133629,2.6008000862418148e-05
900,2.271980066223877,1.0004676297476554,19.846231641414967,0.0003810069439621012,0.0010419843574012437,3.3766114640184656e-05
1000,2.2960204596290215,1.0004208667728898,18.7660219993751,0.0002912059438921488,0.000731621154219707,8.08945395375785e-05
1100,2.3323043200858455,1.0003787800956008,17.411447077869962,0.0002295741454859019,0.0006104052976305318,0.00011692977031076933
1200,2.353991012890997,1.0003409020860405,17.078490941404645,0.0002515741525176644,0.0006413055963725519,4.5541173208829776e-05
1300,2.3923276633972037,1.0003068118774365,15.964895600599377,0.00023408648876459674,0.0006407784098710043,0.00010782908921898993
1400,2.417629599332728,1.0002761306896928,17.564223290646744,0.00034070853057416187,0.0009012922969807214,2.820224770206927e-05
1500,2.4221004809511726,1.0002485176207236,17.244289456970062,0.00033965381329862976,0.000836342632462114,5.822132478939337e-05
1600,2.3289020633220434,1.0002236658586514,15.891640256740384,0.000248978139827731,0.0003710063856611893,9.979198441669617e-05
1700,2.2257129750235864,1.0002012992727862,15.245676618159516,0.0003357321473172312,0.0004354483486691571,4.616710877432495e-05
1800,2.242927111059283,1.0001811693455076,17.690043656626603,0.0003130419118983633,0.0007506289056013067,1.891260406848661e-05
1900,2.2667198052222353,1.0001630524109568,22.26180698852704,0.00041729632719306837,0.001035251284489077,1.6326907621721387e-05
2000,2.353602950284823,1.000146747169861,23.454749648851713,0.00019897171075171623,0.0006238859975257914,1.824695783061466e-05
2100,2.518278328063169,1.000132072452875,27.423415804881223,0.00019542397744958933,0.0007817656230163295,1.2381187053720478e-05
2200,2.565639774446287,1.0001188652075874,40.07784921161205,0.00026396537752047957,0.0007897561103131931,5.1293606029105405e-06
2300,2.6375333848143576,1.0001069786868286,41.77072790441453,0.0002254484230336241,0.000740502452058012,1.298975877552507e-05
2400,2.6805513619996786,1.0000962808181457,39.65926765287869,0.00020810612416579473,0.0006384098950865028,3.090656563426652e-05
2500,2.9457098919021982,1.0000866527363312,42.246595627336255,0.00010259373024417645,0.0005470437902262697,8.347665579188516e-06
2600,2.9865113663500904,1.0000779874626982,41.792026379487204,0.0003174552934533563,0.0010646576386041185,2.823957915280639e-05
2700,2.988254262621682,1.0000701887164283,49.17955579386949,0.00019305630111232308,0.0005799296086916185,5.0137723089621245e-06
2800,2.9988259248974516,1.0000631698447855,50.0,0.00031489606622915487,0.0009742792608335012,1.0219310917003164e-05
2900,2.9756159123510812,1.000056852860307,50.0,0.0001626953731572417,0.00045013348636264137,1.006038934086551e-06
3000,3.0045989333385865,1.0000511675742763,50.0,0.0002947997260447463,0.0009626526222461436,3.50292019605159e-06
3100,2.964122351873035,1.0000460508168487,47.744742192718725,0.00037547270639213637,0.0009761663772398405,3.5564956877531936e-05
3200,2.9372342401634026,1.0000414457351638,45.75360972038988,0.00029399293798499856,0.000792381889190321,2.8468724333280356e-05
3300,2.9009812067215783,1.0000373011616475,43.27690249758253,0.0002241106766308862,0.000577018634440733,2.74947039096846e-05
3400,3.0473144193150907,1.0000335710454826,47.18253850165016,0.00027633774076531295,0.001206024486338286,1.4648083279559912e-05
3500,2.946443961339864,1.0000302139409345,50.0,0.0002755734413668325,0.0005617867290926133,2.990327946978357e-06
3600,2.94724342894687,1.000027192546841,50.0,0.00027169059224881504,0.0008026931831606844,4.16049158471013e-06
3700,3.0626606492580657,1.0000244732921568,47.515984283773456,0.00017502030131554694,0.0007178309997432304,2.8530822087116995e-05
3800,3.2820875401311635,1.000022025962941,46.13037933631053,0.00014212935856260735,0.0007471640260857938,2.219742938666703e-05
3900,3.3771981404979643,1.0000198233666469,48.855165549723814,0.00018021565847257481,0.0007628877619376207,1.0396648197748242e-05
4000,3.2805747641228473,1.0000178410299823,46.333914898963066,0.00019643279126895966,0.0004735924621744004,2.0031268958823815e-05
4100,3.2946655423552342,1.000016056926984,46.33399321905449,0.00018701939317497296,0.0006398835895952262,1.3810030405635041e-05
